id	careerId	attributeType	attributeName	initVal	para1	para2	para3	minVal	maxVal	monsterMaxVal
int	int	int	String	double	double	double	double	int	int	int
编号	职业id	属性类型	属性名	初始值	参数1	参数2	参数3	最小值	最大值	怪物时的最大值
1	1	1	气力	0	2	2	0	0	100000	10000000
2	1	2	灵敏	0	0	0	0	0	100000	10000000
3	1	3	内力	0	0	0	0	0	100000	10000000
4	1	4	掌控	0	0	0	0	0	100000	10000000
5	1	5	坚韧	0	0	0	0	0	100000	10000000
6	1	6	外功攻击	50	0	0	0	0	10000000	10000000
7	1	7	内功攻击	0	0	0	0	0	10000000	10000000
8	1	8	烈阳攻击	0	0	0	0	0	10000000	10000000
9	1	9	天罡攻击	0	0	0	0	0	10000000	10000000
10	1	10	幽冥攻击	0	0	0	0	0	10000000	10000000
11	1	11	太阴攻击	0	0	0	0	0	10000000	10000000
12	1	12	近战命中	1000	1	0	0	0	3000	3000
13	1	13	远程命中	850	1	0	0	0	3000	3000
14	1	14	近战闪避	150	0	0	0	0	2500	2500
15	1	15	远程闪避	50	0	0	0	0	2500	2500
16	1	16	最大生命	5000	200	300	0	1	10000000	2000000000
17	1	17	当前生命	0	0	0	0	0	10000000	10000000
18	1	18	最大真气	1000	10	50	0	0	10000000	10000000
19	1	19	当前真气	0	0	0	0	0	10000000	10000000
20	1	20	防御	200	10	20	0	0	10000000	10000000
21	1	21	外功伤害减免	0	0	0	0	-850	850	10000
22	1	22	内功伤害减免	0	0	0	0	-850	850	10000
23	1	23	烈阳伤害减免	0	0	0	0	-850	850	10000
24	1	24	天罡伤害减免	0	0	0	0	-850	850	10000
25	1	25	幽冥伤害减免	0	0	0	0	-850	850	10000
26	1	26	太阴伤害减免	0	0	0	0	-850	850	10000
27	1	27	会心率	150	0	0	0	0	2000	2000
28	1	28	抵挡率	150	0	0	0	0	2000	2000
29	1	29	攻击频率	300	0	0	0	800	3000	1000
30	1	30	攻击范围	15	0	0	0	1	850	1000
31	1	31	移动速度	25	0	0	0	0	120	1000000
32	1	32	所有伤害降低	0	1	1500	10000	0	850	1000
33	1	33	经验获得基数	1000	0	0	0	0	10000	10000
34	1	34	对人伤害系数	0	0	0	0	-990	3000	8000
35	1	35	对怪伤害系数	0	0	0	0	-990	3000	1000000
36	1	36	对宠伤害系数	0	0	0	0	-990	3000	8000
37	1	37	对召唤物伤害系数	0	0	0	0	-990	3000	8000
38	1	38	被人伤害系数	0	0	0	0	-9990	3000	8000
39	1	39	被怪伤害系数	0	0	0	0	-9990	3000	8000
40	1	40	被宠伤害系数	0	0	0	0	-9990	3000	8000
41	1	41	被召唤物伤害系数	0	0	0	0	-9990	3000	8000
42	1	42	生命回复速度	0	0	0	0	0	20000	1000000
43	1	43	真气回复速度	1	0	0	0	0	1000	1000000
44	1	44	投射物移动速度	0	0	0	0	0	0	0
45	1	45	投射穿透率	0	0	0	0	0	0	0
46	1	46	眩晕概率	0	0	0	0	0	2000	3000
47	1	47	眩晕抵抗	0	0	0	0	0	2000	3000
48	1	48	生命偷取比例	0	0	0	0	0	1000	1000
49	1	49	真气偷取比例	0	0	0	0	0	1000	1000
50	1	50	冰冻概率	0	0	0	0	0	2000	3000
51	1	51	冰冻抗性	0	0	0	0	0	2000	3000
52	1	52	生命偷取抗性	0	0	0	0	0	1000	1000
53	1	53	真气偷取抗性	0	0	0	0	0	1000	1000
54	1	54	生命流失抗性	0	0	0	0	0	1000	1000
55	1	55	真气流失抗性	0	0	0	0	0	1000	1000
56	1	56	外功伤害吸收	0	0	0	0	0	10000000	10000000
57	1	57	内功伤害吸收	0	0	0	0	0	10000000	10000000
58	1	58	烈阳伤害吸收	0	0	0	0	0	10000000	10000000
59	1	59	天罡伤害吸收	0	0	0	0	0	10000000	10000000
60	1	60	幽冥伤害吸收	0	0	0	0	0	10000000	10000000
61	1	61	太阴伤害吸收	0	0	0	0	0	10000000	10000000
62	1	62	外功反弹	0	0	0	0	0	1000	10000000
63	1	63	内功反弹	0	0	0	0	0	1000	10000000
64	1	64	烈阳反弹	0	0	0	0	0	1000	10000000
65	1	65	天罡反弹	0	0	0	0	0	1000	10000000
66	1	66	幽冥反弹	0	0	0	0	0	1000	10000000
67	1	67	太阴反弹	0	0	0	0	0	1000	10000000
68	1	68	外功伤害系数	0	0	0	0	0	1000	1000
69	1	69	内功伤害系数	0	0	0	0	0	1000	1000
70	1	70	烈阳伤害系数	0	0	0	0	0	1000	1000
71	1	71	天罡伤害系数	0	0	0	0	0	1000	1000
72	1	72	幽冥伤害系数	0	0	0	0	0	1000	1000
73	1	73	太阴伤害系数	0	0	0	0	0	1000	1000
74	1	74	会心伤害	1500	0	0	0	0	3000	3000
75	1	75	抵挡能力	500	0	0	0	0	850	1000
76	1	76	所有伤害提升	0	0	0	0	0	1000	1000
77	1	77	重创攻击	0	0	0	0	0	10000000	1000
78	1	78	护体防御	0	0	0	0	0	10000000	1000
79	1	79	定身概率	0	0	0	0	0	2000	3000
80	1	80	定身抗性	0	0	0	0	0	2000	3000
81	1	81	韧性	0	0	0	0	0	1000	1000
82	1	82	破防	0	0	0	0	0	1000	1000
83	1	83	韧性能力	0	0	0	0	0	1000	1000
84	1	84	破防能力	0	0	0	0	0	1000	1000
85	1	85	额外技能点	0	0	0	0	0	1000	1000
86	2	1	气力	0	0	0	0	0	100000	10000000
87	2	2	灵敏	0	3	4	0	0	100000	10000000
88	2	3	内力	0	0	0	0	0	100000	10000000
89	2	4	掌控	0	0	0	0	0	100000	10000000
90	2	5	坚韧	0	0	0	0	0	100000	10000000
91	2	6	外功攻击	80	0	0	0	0	10000000	10000000
92	2	7	内功攻击	0	0	0	0	0	10000000	10000000
93	2	8	烈阳攻击	0	0	0	0	0	10000000	10000000
